Keyword,Position,Review text,Reviewed at,Owner's answer,Profile name,Profile URL,Profile image URL,Rating,Reviews count,Photos count,Is local guide?
Seniman Coffee Studio,1,"Often heard about this place, and finally decided to give it a try. I am a coffee drinker however mostly never wanted to try a new place due to some people just couldn't listen to my preference. Surprisingly in here they took my order seriously and the coffee came really nice. This is a first for me. The pastry is also nice although I would still prefer the coffee. Kudos to Seniman Coffee, you just captured my heart. For sure will pay you a visit whenever I am around here.",2021-10-27 15:59:23 +00:00,,Tamara Budiman,https://www.google.com/maps/contrib/103572168496898923248?hl=en-IN&sa=X&ved=2ahUKEwi95KTU9Lj0AhVUTWwGHVgEARAQvvQBegQIARBF,https://lh3.googleusercontent.com/a-/AOh14Gi-eoFbDhwPAfGB5iSpNBSbJms1b0two8uocYogiQ=s40-c-c0x00000000-cc-rp-mo-ba2-br100,5,10,15,Yes
Seniman Coffee Studio,2,"Definitely a place to hangout with friends and families. The coffee was good, their butter croissant was worth to try. Prices was also reasonable.
It's better to go in the morning or when the sun is already not too harsh.",2021-11-06 15:59:23 +00:00,,khristianti weda,https://www.google.com/maps/contrib/112381977338533597171?hl=en-IN&sa=X&ved=2ahUKEwi95KTU9Lj0AhVUTWwGHVgEARAQvvQBegQIARBW,https://lh3.googleusercontent.com/a-/AOh14Gjt0C9nksHyJ0fKj2mRZt_LlbBV6BblxQwEvEs2mNo=s40-c-c0x00000000-cc-rp-mo-ba4-br100,4,177,345,Yes
Seniman Coffee Studio,3,"a must visit if you enjoy drinking coffee, try the cold brew sampler, will definitely blew your mind!",2021-10-30 15:59:23 +00:00,,Dennis Sutanto,https://www.google.com/maps/contrib/109088726373251744050?hl=en-IN&sa=X&ved=2ahUKEwi95KTU9Lj0AhVUTWwGHVgEARAQvvQBegQIARBl,https://lh3.googleusercontent.com/a-/AOh14GhaYP8x2rDPShbAizFu6W6dh3krdPvd7V-0a5eTIkg=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,122,295,Yes
Seniman Coffee Studio,4,"nice place, pastry dan minumannya enak. bit pricey for me, but overall great.",2021-11-20 15:59:23 +00:00,,Ogi Wira setia,https://www.google.com/maps/contrib/104650171077272738229?hl=en-IN&sa=X&ved=2ahUKEwi95KTU9Lj0AhVUTWwGHVgEARAQvvQBegQIARB1,https://lh3.googleusercontent.com/a/AATXAJz38eMFnjb2SZot3fKUEBI8iOmb8ULTY702UcCz=s40-c-c0x00000000-cc-rp-mo-br100,4,95,92,No
Seniman Coffee Studio,5,"If you are serious about your coffee, and you want best of the best, then this is the place for you! Incredible selection of freshly roasted beans, coffee equipment and tastings available. Such an impressive store, would recommend to anyone who appreciates the finer aspects of coffee culture 👌",2021-09-27 15:59:23 +00:00,,Jamie Whitson,https://www.google.com/maps/contrib/110394006417240354966?hl=en-IN&sa=X&ved=2ahUKEwi95KTU9Lj0AhVUTWwGHVgEARAQvvQBegUIARCDAQ,https://lh3.googleusercontent.com/a-/AOh14GgA_lQHsJ7epWGMmJzSThgmxdl9IrNJSIbNKeH33NM=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,50,111,Yes
Seniman Coffee Studio,6,My favorite place to grab some coffees at Ubud. The ambience is nice and relaxing. Most of items are sold at affordable prices.,2021-10-27 15:59:23 +00:00,,Rizki Kurniawan,https://www.google.com/maps/contrib/112905779099867046965?hl=en-IN&sa=X&ved=2ahUKEwi95KTU9Lj0AhVUTWwGHVgEARAQvvQBegUIARCTAQ,https://lh3.googleusercontent.com/a-/AOh14GiLZbtd8STojU0rL4Vj1rTOYpxJyGqPIr32Fc6He6M=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,16,121,Yes
Seniman Coffee Studio,7,Will be glad to go back there,2021-10-27 15:59:23 +00:00,,Dila Paramita,https://www.google.com/maps/contrib/113990119362775380809?hl=en-IN&sa=X&ved=2ahUKEwi95KTU9Lj0AhVUTWwGHVgEARAQvvQBegUIARCkAQ,https://lh3.googleusercontent.com/a-/AOh14Giu_qcDTxciBNxgEjctd9CbGTSRs6XCQlJ_yesGoA=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,27,276,Yes
Seniman Coffee Studio,8,"go to this place if you want coffee, but nothing else. I arrived with an empty stomach and ordered some asian dish, am not impressed (not bad but so-so).as for the coffee, I got curious with coffee kombucha as I often brewed one myself at home too but I rarely saw it sold in a cafe. the coffee kombucha are nice, it has a nice aroma and round taste, not too sweet, not too sour. I also curious with some of the non-coffee lattes offered, so I ordered a turmeric latte and it was good! now I'm curious with other lattes too. I also bought a few coffee beans for home brewing.",2021-09-27 15:59:23 +00:00,,Dhika Ahmad Aulia,https://www.google.com/maps/contrib/109583877749682751606?hl=en-IN&sa=X&ved=2ahUKEwi95KTU9Lj0AhVUTWwGHVgEARAQvvQBegUIARCzAQ,https://lh3.googleusercontent.com/a-/AOh14GiYUszsKE8_fUvwWUSuqPfR3vRxo1lYwpwAlgDrq70=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,147,215,Yes
Seniman Coffee Studio,9,"Wonderful place! Artsy as its name..
Coffee tastes good (for non heavy coffee drinker / picky like me).
Food: ordered dimsum, tastes so so.
Available pretty spacey indoor, outdoor seata with electrical outlets access (working space friendly)",2021-10-27 15:59:23 +00:00,,Ignatius Kevin Tigor Wisesa,https://www.google.com/maps/contrib/110318954823426658812?hl=en-IN&sa=X&ved=2ahUKEwi95KTU9Lj0AhVUTWwGHVgEARAQvvQBegUIARDFAQ,https://lh3.googleusercontent.com/a-/AOh14GhugWKBRvNrpo5kVAKNsZaMLilgbUDaTRA_-4g6Lg=s40-c-c0x00000000-cc-rp-mo-br100,5,1,1,No
Seniman Coffee Studio,10,"Came to this place twice when I was in Ubud! I really love the coffee with cinammon and creme brulee, the ambience was super chill and really like to sit in the recycled rocking chair. A must visit cafe in Ubud!",2021-06-27 15:59:23 +00:00,,Albert Sahala,https://www.google.com/maps/contrib/112949997278318439895?hl=en-IN&sa=X&ved=2ahUKEwi95KTU9Lj0AhVUTWwGHVgEARAQvvQBegUIARDTAQ,https://lh3.googleusercontent.com/a-/AOh14Gg1ToOMQA6eJXRARPp35zfFt47xJlHMRZoDItmf6cA=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,24,71,Yes
