Keyword,Position,Review text,Reviewed at,Owner's answer,Profile name,Profile URL,Profile image URL,Rating,Reviews count,Photos count,Is local guide?
Starbucks Buah Batu,1,"Good service, nice atmosphere, limited parking space so it's quite difficult to park especially during rush hours and weekends.",2021-11-29 04:24:32 +00:00,,Edo Sanjaya,https://www.google.com/maps/contrib/114503752702191809674?hl=en-ID&sa=X&ved=2ahUKEwiTopGRqs70AhWo8HMBHcz8DNYQvvQBegQIARBC,https://lh3.googleusercontent.com/a-/AOh14GgR8LhcdQTYXkE5paZWbv6Cx64gUGxXbiGQfrGa=s40-c-c0x00000000-cc-rp-mo-ba2-br100,4,28,7,Yes
Starbucks Buah Batu,2,i like to give 5 star but when i buy the product its quite long waited tje cashier to handle the customer a head us,2021-11-22 04:24:32 +00:00,,Helmi Nugraha Sastrawiria,https://www.google.com/maps/contrib/101457533814953051032?hl=en-ID&sa=X&ved=2ahUKEwiTopGRqs70AhWo8HMBHcz8DNYQvvQBegQIARBO,https://lh3.googleusercontent.com/a-/AOh14GhcHOLtUIcBVfK5KNtvNlN_2pZuJ2abctmlR6ofmQ=s40-c-c0x00000000-cc-rp-mo-ba3-br100,4,16,19,Yes
Starbucks Buah Batu,3,"Please request colokan listrik di smoking area, cuz sometimes some people wanna do some work while smoking's. Thanks",2021-11-06 04:24:32 +00:00,,Timothy Stanley,https://www.google.com/maps/contrib/106527923348329210439?hl=en-ID&sa=X&ved=2ahUKEwiTopGRqs70AhWo8HMBHcz8DNYQvvQBegQIARBa,https://lh3.googleusercontent.com/a-/AOh14GhrWWnIboaITektgPW9FDoRromGcxmO8ofQMojqQQ=s40-c-c0x00000000-cc-rp-mo-ba3-br100,4,72,8,Yes
Starbucks Buah Batu,4,"Nice place to hang out and chit chat with your friends, also the coffee is excellent.",2021-03-06 04:24:32 +00:00,,dongki fieldy,https://www.google.com/maps/contrib/113421126044902023468?hl=en-ID&sa=X&ved=2ahUKEwiTopGRqs70AhWo8HMBHcz8DNYQvvQBegQIARBl,https://lh3.googleusercontent.com/a/AATXAJyy79qDTNyqPuOiLnTtJDhKHAKtf8ryRUGt6I2-=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,112,102,Yes
Starbucks Buah Batu,5,#redtaylorversion🧣,2021-11-22 04:24:32 +00:00,,Vonsye Wattimena,https://www.google.com/maps/contrib/102267581903883832406?hl=en-ID&sa=X&ved=2ahUKEwiTopGRqs70AhWo8HMBHcz8DNYQvvQBegQIARBy,https://lh3.googleusercontent.com/a-/AOh14Gg3d9d_tLV-y8oN_oH-qzk2SDp71GfbIZf73xpDlA=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,38,9,Yes
Starbucks Buah Batu,6,"the location was not to good, average hospitality from the staf",2020-12-06 04:24:32 +00:00,,Rully Hanafi Dahlan,https://www.google.com/maps/contrib/114470808928711515045?hl=en-ID&sa=X&ved=2ahUKEwiTopGRqs70AhWo8HMBHcz8DNYQvvQBegUIARCBAQ,https://lh3.googleusercontent.com/a-/AOh14GhF5QIkoxAHZyTjLstxdhfrkyUIAZuVZglOA5qayA=s40-c-c0x00000000-cc-rp-mo-ba4-br100,3,113,142,Yes
Starbucks Buah Batu,7,Ideal place to hangout with friends or business meeting,2021-10-06 04:24:32 +00:00,Stay safe!!,Vivi Mariska,https://www.google.com/maps/contrib/114996752933441775041?hl=en-ID&sa=X&ved=2ahUKEwiTopGRqs70AhWo8HMBHcz8DNYQvvQBegUIARCUAQ,https://lh3.googleusercontent.com/a-/AOh14GhjiyB0T89d8Q-Po6AG9CWZ8OGkqpSous9y0r8JQw=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,43,24,Yes
Starbucks Buah Batu,8,"This is my first time ever visit Starbucks Buah Batu. It's a good place with many cafes and food stalls around it. This place has three areas which are front yard, main room with sofas, chair, and mini bar, plus the backyard with parking lot.",2020-12-06 04:24:32 +00:00,,Galih Faizal,https://www.google.com/maps/contrib/113996646635405607774?hl=en-ID&sa=X&ved=2ahUKEwiTopGRqs70AhWo8HMBHcz8DNYQvvQBegUIARCfAQ,https://lh3.googleusercontent.com/a-/AOh14GgIcE4dm6RsEnMxNhQXAL4O1Oc0ORA4qrsxIwZYwA=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,25,109,Yes
Starbucks Buah Batu,9,"Nice place, nice coffee, good ol starbucks",2020-12-06 04:24:32 +00:00,,Syffa Ayuni,https://www.google.com/maps/contrib/116650747992412789025?hl=en-ID&sa=X&ved=2ahUKEwiTopGRqs70AhWo8HMBHcz8DNYQvvQBegUIARCsAQ,https://lh3.googleusercontent.com/a-/AOh14GiIiJnbnkibYzmSP7nu0e26WB9D6pKwMNv5C6i9fuw=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,21,3,Yes
Starbucks Buah Batu,10,"One of the best Starbucks you can find in Bandung. Has an Experience Bar where you can watch and talk with the barista. Great mood and atmosphere, too.",2017-12-06 04:24:32 +00:00,,Hubbi NM,https://www.google.com/maps/contrib/101114877095921334491?hl=en-ID&sa=X&ved=2ahUKEwiTopGRqs70AhWo8HMBHcz8DNYQvvQBegUIARC5AQ,https://lh3.googleusercontent.com/a-/AOh14Gg7nZK9dHzYoY2Y9CKWcSiVkmWa1XQSKfRWae3u_mI=s40-c-c0x00000000-cc-rp-mo-ba5-br100,5,303,1168,Yes
