Keyword,Position,Review text,Reviewed at,Owner's answer,Profile name,Profile URL,Profile image URL,Rating,Reviews count,Photos count,Is local guide?
Klinik kopi,1,"Is the same thing when you go to the doctor and you are the patient. In this venue, you'll be asked what kind of coffee taste note you like. Then he will make it for you in front of you. Very recommended place and for manual brew lovers you must come here! Great beans selections too.",2021-10-27 15:41:52 +00:00,,Gowes Ngopi,https://www.google.com/maps/contrib/108303328847849737612?hl=en-BR&sa=X&ved=2ahUKEwjmmJLf8Lj0AhWlrJUCHRrHCksQvvQBegQIARBF,https://lh3.googleusercontent.com/a-/AOh14GhDc5Lf8zG3XPyieXlHHBD0RtOQyiybrR548eJL=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,67,152,Yes
Klinik kopi,2,"I met Pepeng the owner few years a go during Skyscanner project in Yogyakarta. Still keeping their way of manual brew, now Klinik Kopi is the most recognizable cafe for manual brew method in Indonesia.",2021-08-27 15:41:52 +00:00,,Efenerr,https://www.google.com/maps/contrib/108948549104900948747?hl=en-BR&sa=X&ved=2ahUKEwjmmJLf8Lj0AhWlrJUCHRrHCksQvvQBegQIARBT,https://lh3.googleusercontent.com/a-/AOh14Gj7MKAkpAB0_U28IvZSbTVxB4h70U2UAhYHw006vg=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,174,351,Yes
Klinik kopi,3,Must Visit Place for all caffeine addicted...cozy\friendly\bravo!!!,2021-09-27 15:41:52 +00:00,,Nurul Huda,https://www.google.com/maps/contrib/111855475257956005801?hl=en-BR&sa=X&ved=2ahUKEwjmmJLf8Lj0AhWlrJUCHRrHCksQvvQBegQIARBh,https://lh3.googleusercontent.com/a-/AOh14GgXhJJjDMxkqaF4lmLB2cJX2Fcq8NnXUArsrnxy=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,114,84,Yes
Klinik kopi,4,"Coffee taste was great, Barista """"Mas Pepeng"""" was really friendly, he spoke with the customer while making the coffee. ambience of the cafe also great, has cozy & outdoor space yet cool vibes. Made me want to go there when I visit Jogja on next occassion.",2021-06-27 15:41:52 +00:00,,Hasabi Herma Putra,https://www.google.com/maps/contrib/115967927753375655478?hl=en-BR&sa=X&ved=2ahUKEwjmmJLf8Lj0AhWlrJUCHRrHCksQvvQBegQIARBy,https://lh3.googleusercontent.com/a-/AOh14GjEyt8EyGGVWReIEG6aVgMIVJFMZjXjLajdB1BH=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,114,205,Yes
Klinik kopi,5,"Good vibes, bcs there are a lot of plants there~ a very pleasant place to stop by, the barista is super friendly and the desserts taste good, there are: cheese cake and brownies.. also, my favo menus are Mango Sticky Rice and senggani japanese iced coffee. but if you wanna taste more fruity coffee, you can pick Padusi.",2021-08-27 15:41:52 +00:00,,Nadya Haira,https://www.google.com/maps/contrib/117803557661800502971?hl=en-BR&sa=X&ved=2ahUKEwjmmJLf8Lj0AhWlrJUCHRrHCksQvvQBegUIARCAAQ,https://lh3.googleusercontent.com/a-/AOh14GirY-zh_ygSLaBJvCNO8eWtNjeAkNsfSgey1z6tTA=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,20,65,Yes
Klinik kopi,6,"Looking for a high quality coffe beans and excellent sips of coffee? This is definitely the place. Their beans are so special because they are fully controlled by mas Pepeng (owner and brewer) since they are harvested from the coffee tree until they are ready to brew. Coffee farmers behind their beans are well educated by mas Pepeng itself. No doubt, all coffee beans served here always giving an exceptional taste. Home made cakes are also provided in slices, taste pretty good 👍🏻",2021-04-27 15:41:52 +00:00,"bung kopong,makasih yooo",Rio Zulfikar,https://www.google.com/maps/contrib/105853767384248843747?hl=en-BR&sa=X&ved=2ahUKEwjmmJLf8Lj0AhWlrJUCHRrHCksQvvQBegUIARCOAQ,https://lh3.googleusercontent.com/a-/AOh14GjhfhfdqEGaE1xrfBVVpM08Om0oLJwlwhySPLj98w=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,20,38,Yes
Klinik kopi,7,"Great place with a lot of plants, good service, you can talk about coffee, plants or any other stuffs with the owner. Price is average, but coffee is sondamn great 👍🏻👍🏻👍🏻👍🏻👍🏻",2021-06-27 15:41:52 +00:00,,manik suranti,https://www.google.com/maps/contrib/109223616207006434918?hl=en-BR&sa=X&ved=2ahUKEwjmmJLf8Lj0AhWlrJUCHRrHCksQvvQBegUIARCeAQ,https://lh3.googleusercontent.com/a/AATXAJwLvDNnIsHH8YY92yq23p3tZ9s9O1wK1Uwr8wN3=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,35,51,Yes
Klinik kopi,8,Yellow Caturra the best!!,2021-09-27 15:41:52 +00:00,,Bima Satria,https://www.google.com/maps/contrib/108130272802899039960?hl=en-BR&sa=X&ved=2ahUKEwjmmJLf8Lj0AhWlrJUCHRrHCksQvvQBegUIARCsAQ,https://lh3.googleusercontent.com/a-/AOh14GhhFK01rzcNry_JwLiiVJg3tAEudlOHI3xL1wBhwQ=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,43,834,Yes
Klinik kopi,9,Never got bored of Pepeng's story! He's such a great storyteller and his coffee story is always an attraction for the coffee lovers to keep coming back!,2021-09-27 15:41:52 +00:00,,Aresty Amalia Andini (Aresty),https://www.google.com/maps/contrib/108737655985660634941?hl=en-BR&sa=X&ved=2ahUKEwjmmJLf8Lj0AhWlrJUCHRrHCksQvvQBegUIARC6AQ,https://lh3.googleusercontent.com/a-/AOh14GidmCVeKaIUCX93OvbI1rNdnmPSYlkYQ6I1RaR5Jg=s40-c-c0x00000000-cc-rp-mo-ba2-br100,5,19,14,Yes
Klinik kopi,10,"Love the ambience, the barista love to discuss alot bout beans, how to pour, and also coffee business. You should come to this cafe, very recommend",2020-11-27 15:41:52 +00:00,,Husein Rifki,https://www.google.com/maps/contrib/111686069868287393461?hl=en-BR&sa=X&ved=2ahUKEwjmmJLf8Lj0AhWlrJUCHRrHCksQvvQBegUIARDFAQ,https://lh3.googleusercontent.com/a-/AOh14GiSsVm-h-hn3oI1Pm7PxtSrKk7sXoG14PJuEFbtLQ=s40-c-c0x00000000-cc-rp-mo-ba5-br100,5,291,363,Yes
Klinik kopi,11,"If you want to change your point of view about how coffee tastes, you should come to this place. They have light roasted coffee beans from several coffee plantations in Indonesia. They know the coffee farmer in person. Just tell the brewer-roaster-owner of Klinik Kopi what kind coffee you usually drink, and he will suggest you something different. You will understand how coffee can taste so delicious because he will explain to you everything about coffee. They also sell coffee beans and some manual brew gears.",2017-11-27 15:41:52 +00:00,,Fath Sahal,https://www.google.com/maps/contrib/103630121809533911243?hl=en-DZ&sa=X&ved=2ahUKEwj_uu3e8Lj0AhUL5uAKHTzIBuQQvvQBegQIARA_,https://lh3.googleusercontent.com/a-/AOh14GhJqxbFDz14tX9fVmrIOQR167uqAT09olL0Oj398w=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,32,28,Yes
Klinik kopi,12,"The owners is so friendly, it's a really must visited coffee shop in yogyakarta, if you wanna asked your crush to grab a coffee and have a deep talk this is the place you should go
Nb : there are no such a latte or espresso based coffee here, it's purely just coffee, don't expect you'll find sugar and milk in here",2019-11-27 15:41:52 +00:00,,Rafli Alfazer,https://www.google.com/maps/contrib/101531648491773705436?hl=en-DZ&sa=X&ved=2ahUKEwj_uu3e8Lj0AhUL5uAKHTzIBuQQvvQBegQIARBS,https://lh3.googleusercontent.com/a-/AOh14GhpPjW32_iUFl75B0Hn_2X2PZjn7gukwPVCOEhuoA=s40-c-c0x00000000-cc-rp-mo-ba3-br100,5,33,39,Yes
Klinik kopi,13,Sharing is caring,2021-09-27 15:41:52 +00:00,,Putu Mutia,https://www.google.com/maps/contrib/110503302079580445463?hl=en-DZ&sa=X&ved=2ahUKEwj_uu3e8Lj0AhUL5uAKHTzIBuQQvvQBegQIARBi,https://lh3.googleusercontent.com/a-/AOh14GhwauaBmlu_gbs6HI-dzKaV7TWjcKbYUJtqNBMJtA=s40-c-c0x00000000-cc-rp-mo-ba4-br100,5,46,117,Yes
Klinik kopi,14,"Coffee tastes perfect. Not a place to drink and talk. Only a place to drink coffee. Waiting list is too long and if you come to have a talk or a date, this isnt the place for it. But coffee tastes good and you can chat out with the owner.",2018-11-27 15:41:52 +00:00,Makasih Mbak wandira.....,Wandira Larasati,https://www.google.com/maps/contrib/110620526340578040939?hl=en-DZ&sa=X&ved=2ahUKEwj_uu3e8Lj0AhUL5uAKHTzIBuQQvvQBegQIARBw,https://lh3.googleusercontent.com/a-/AOh14GjWEaQdc97CBAgNEvLyiuDYbTCnCKHvPVhHOzMuR4A=s40-c-c0x00000000-cc-rp-mo-ba5-br100,4,226,1230,Yes
Klinik kopi,15,...and Mostly GREAT coffee ... ☕☕👍👍,2019-11-27 15:41:52 +00:00,,glody s,https://www.google.com/maps/contrib/103622727736668472570?hl=en-DZ&sa=X&ved=2ahUKEwj_uu3e8Lj0AhUL5uAKHTzIBuQQvvQBegUIARCBAQ,https://lh3.googleusercontent.com/a-/AOh14GgUbDWsYh-H2A_m0oX6VCB7jTRlOxOMJsuArOYWxQ=s40-c-c0x00000000-cc-rp-mo-ba7-br100,5,977,7343,Yes
Klinik kopi,16,"Take the queue number, no coffee/espresso machine, no milk, just manual brew with filter. For serious coffee lover, no sugar. The barista and also the owner (Mas Pepeng) loves to talk everything about coffee. Really nice place to sip ur coffee. Klinik kopi also has cold home made dessert from fridge such as Klappertaart, choco tart if you need something sweet to accompany your coffee. Tasted delicious.",2017-11-27 15:41:52 +00:00,thanks you mas riza,Riza Adrian,https://www.google.com/maps/contrib/102983837378812931621?hl=en-DZ&sa=X&ved=2ahUKEwj_uu3e8Lj0AhUL5uAKHTzIBuQQvvQBegUIARCUAQ,https://lh3.googleusercontent.com/a-/AOh14GjbzamjcM3ryQoZypfkksiUZU3TTwwV7S_KhcuV=s40-c-c0x00000000-cc-rp-mo-ba6-br100,5,221,2375,Yes
Klinik kopi,17,"Nice ambiance at entrance and once you get inside, you will be given queue number 😂😂😂",2017-11-27 15:41:52 +00:00,,Lia Andewi,https://www.google.com/maps/contrib/114823167426371031860?hl=en-DZ&sa=X&ved=2ahUKEwj_uu3e8Lj0AhUL5uAKHTzIBuQQvvQBegUIARCoAQ,https://lh3.googleusercontent.com/a-/AOh14GhNCDSqnccUcE4e1OXbZpEkbP9cXH41-aNe7PNVSr0=s40-c-c0x00000000-cc-rp-mo-ba5-br100,5,205,1137,Yes
Klinik kopi,18,"A place to go if you’re a novice coffee ☕️ or a veteran. I like this place concept that you get a lot of explanation about the coffee and where it comes from, and you definitely gain more knowledge about coffee here.",2019-11-27 15:41:52 +00:00,,Ami Fraise,https://www.google.com/maps/contrib/105825467008347536234?hl=en-DZ&sa=X&ved=2ahUKEwj_uu3e8Lj0AhUL5uAKHTzIBuQQvvQBegUIARC5AQ,https://lh3.googleusercontent.com/a-/AOh14GjZgToBvLS8KHKy1zkAPbBa9MG9DD_8SjywQUSt4Q=s40-c-c0x00000000-cc-rp-mo-ba5-br100,5,142,719,Yes
